Word, Sentiment
Sentiment, Positive
Positive, Positive
Negative, Negative
Neutral, Neutral
Anger, Negative
Fear, Negative
Sadness, Negative
Disgust, Negative
Happiness, Positive
Joy, Positive
Love, Positive
Amusement, Positive
Enjoyment, Positive
Admiration, Positive
Affection, Positive
Awe, Positive
Disappointed, Negative
Surprise, Neutral
Acceptance, Positive
Adoration, Positive
Anticipation, Positive
Bitter, Negative
Calmness, Positive
Confusion, Negative
Excitement, Positive
Kind, Positive
Pride, Positive
Shame, Negative
Elation, Positive
Euphoria, Positive
Contentment, Positive
Serenity, Positive
Gratitude, Positive
Hope, Positive
Empowerment, Positive
Compassion, Positive
Tenderness, Positive
Arousal, Positive
Enthusiasm, Positive
Fulfillment, Positive
Reverence, Positive
Compassion, Positive
Fulfillment, Positive
Reverence, Positive
Elation, Positive
Despair, Negative
Grief, Negative
Loneliness, Negative
Jealousy, Negative
Resentment, Negative
Frustration, Negative
Boredom, Negative
Anxiety, Negative
Intimidation, Negative
Helplessness, Negative
Envy, Negative
Regret, Negative
Disgust, Negative
Despair, Negative
Loneliness, Negative
Frustration, Negative
Anxiety, Negative
Intimidation, Negative
Helplessness, Negative
Jealousy, Negative
Curiosity, Neutral
Indifference, Negative
Confusion, Negative
Numbness, Negative
Melancholy, Negative
Nostalgia, Neutral
Ambivalence, Neutral
Acceptance, Positive
Determination, Positive
Serenity, Positive
Numbness, Negative
Zest, Positive
Contentment, Positive
Hopeful, Positive
Proud, Positive
Grateful, Positive
Empathetic, Positive
Compassionate, Positive
Playful, Positive
Free-spirited, Positive
Inspired, Positive
Confident, Positive
Serenity, Positive
Curiosity, Neutral
Ambivalence, Neutral
Despair, Negative
Bitterness, Negative
Yearning, Negative
Fearful, Negative
Apprehensive, Negative
Overwhelmed, Negative
Jealous, Negative
Devastated, Negative
Frustrated, Negative
Envious, Negative
Dismissive, Negative
Awe, Positive
Determination, Positive
Nostalgia, Neutral
Thrill, Neutral
Calmness, Positive
Overwhelmed, Negative
Gratitude, Positive
Bittersweet, Positive
Curiosity, Neutral
Admiration, Positive
Overjoyed, Positive
Inspiration, Positive
Motivation, Positive
Amusement, Positive
Contemplation, Neutral
Joyful Reunion, Positive
Excitement, Positive
Satisfaction, Positive
Blessed, Positive
Anticipation, Positive
Reflection, Neutral
Nostalgia, Neutral
Appreciation, Positive
Confidence, Positive
Surprise, Neutral
Accomplishment, Positive
Wonderment, Positive
Optimism, Positive
Pride, Positive
Happiness, Positive
Curiosity, Neutral
Enchantment, Positive
Intrigue, Neutral
Playful Joy, Positive
Mindfulness, Positive
Dream Chaser, Positive
Elegance, Positive
Whimsy, Positive
Pensive, Neutral
Thrill, Positive
Harmony, Positive
Creativity, Positive
Radiance, Positive
Wonder, Positive
Rejuvenation, Positive
Inspiration, Positive
Coziness, Positive
Gratitude, Positive
Adventure, Positive
Euphoria, Positive
Awe, Positive
Melodic, Neutral
Festive Joy, Positive
Inner Journey, Neutral
Freedom, Positive
Dazzle, Positive
Adrenaline, Positive
Harmony, Positive
Artistic Burst, Positive
Radiance, Positive
Wonder, Positive
Inspiration, Positive
Culinary Odyssey, Positive
Euphoria, Positive
Curiosity, Neutral
Resilience, Positive
Immersion, Positive
Nostalgia, Neutral
Spark, Positive
Gratitude, Positive
Marvel, Positive
Serenity, Positive
Heartbreak, Negative
Loneliness, Negative
Grief, Negative
Despair, Negative
Betrayal, Negative
Suffering, Negative
Emotional Storm, Negative
Regret, Negative
Isolation, Negative
Disappointment, Negative
Lost Love, Negative
Melancholy, Negative
Exhaustion, Negative
Sorrow, Negative
Darkness, Negative
Desperation, Negative
Ruins, Negative
Desolation, Negative
Regret, Negative
Grief, Negative
Heartbreak, Negative
Betrayal, Negative
Resilience, Positive
Sorrow, Negative
Loss, Negative
Heartache, Negative
Solitude, Negative
Joy, Positive
Happiness, Positive
Enthusiasm, Positive
Gratitude, Positive
Positivity, Positive
Kindness, Positive
Friendship, Positive
Love, Positive
Surprise, Neutral
Success, Positive
Thrill, Positive
Reflection, Neutral
Enchantment, Positive
Exploration, Positive
Awe, Positive
Amazement, Positive
Romance, Positive
Captivation, Positive
Wonder, Positive
Tranquility, Positive
Grandeur, Positive
Emotion, Neutral
Energy, Neutral
Celebration, Positive
Charm, Positive
Ecstasy, Positive
Hope, Positive
Creativity, Positive
Colorful, Positive
Pride, Positive
Hypnotic, Positive
Connection, Positive
Iconic, Positive
Euphoria, Positive
Journey, Neutral
Engagement, Positive
Touched, Positive
Suspense, Neutral
Satisfaction, Positive
Admiration, Positive
Triumph, Positive
Heartwarming, Positive
Obstacle, Neutral
Sympathy, Positive
Pressure, Negative
Renewed Effort, Positive
Miscalculation, Negative
Challenge, Neutral
Solace, Neutral
Breakthrough, Positive
Harmony, Positive
Joy in Baking, Positive
Envisioning History, Neutral
Imagination, Positive
Vibrancy, Positive
Mesmerizing, Positive
Culinary Adventure, Positive
Winter Magic, Positive
Thrilling Journey, Positive
Nature's Beauty, Positive
Celestial Wonder, Positive
Creative Inspiration, Positive
Runway Creativity, Positive
Ocean's Freedom, Positive
Whispers of the Past, Positive
Boredom, Negative
Indifference, Negative
Disgust, Negative
Relief, Positive
Positive, Positive
Embarrassed, Negative
Mischievous, Neutral
Sad, Negative
Hate, Negative
Bad, Negative
Neutral, Neutral
Happy, Positive
