id,text_label,text,label,prediction
12134.json,barely-true,We have less Americans working now than in the 70s.,0,0
238.json,pants-fire,"When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).",0,0
7891.json,FALSE,Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.,0,0
8169.json,half-true,Says nearly half of Oregons children are poor.,1,0
929.json,half-true,"On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""",1,0
9416.json,FALSE,"Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.",0,0
6861.json,TRUE,Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.,1,0
1122.json,FALSE,"The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.",0,0
13138.json,TRUE,Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.,1,0
1880.json,half-true,Bill White has a long history of trying to limit or even disenfranchise military voters.,1,0
12803.json,half-true,John McCains chief economic adviser during the 08 race estimated that Trumps promises would cause America to lose 3.5 million jobs.,1,0
5409.json,FALSE,"Says 21,000 Wisconsin residents got jobs in 2011, but 18,000 of them were in other states.",0,0
7313.json,half-true,State revenue projections have missed the mark month after month.,1,0
4809.json,TRUE,"The median income of a middle class family went down $2,100 from 2001 to 2007.",1,0
1671.json,barely-true,"Every citizen is entitled to the freedom of speech, but no one should have the right to use government funds or institutions to portray acts that are morally reprehensible to the vast majority of Americans.",0,0
4348.json,half-true,"Rick Perry has advocated abandoning Social Security, scuttling Medicaid and ending the federal income tax.",1,0
6225.json,half-true,Two thirds to three quarters of people without [health] insurance in Rhode Island work.,1,0
7675.json,mostly-true,Congress has spent 66 of the first 100 days of this term in recess.,1,0
2255.json,barely-true,Mark Sharpe has lowered property taxes by 17 percent.,0,0
9827.json,pants-fire,Says Iowa Gov. Terry Branstad chartered a plane to remove 124 young illegal immigrants from his state and take them back to Honduras.,0,0
12366.json,half-true,"If you dont buy cigarettes at your local supermarket, your grocery bill wont go up a dime. The same is true of the sugary drink tax. If passed, you can avoid paying the tax by not buying sugary drinks.",1,0
10337.json,pants-fire,Says President Barack Obama has said that everybody should hate the police.,0,0
4778.json,TRUE,Georgia has had ʺmore bank failures than any other state.ʺ,1,0
5795.json,pants-fire,"Bank of America could create 878,300 jobs with benefits if they spent their 2010 bonuses on job creation.",0,0
9470.json,half-true,Thom Tillis cut almost $500 million from education.,1,0
10385.json,barely-true,"If people work and make more money, they lose more in benefits than they would earn in salary.",0,0
5373.json,mostly-true,"We are poised to get rid of over 1,000 more regulations in 2012.",1,0
9890.json,pants-fire,A flight from Atlanta to Houston was canceled due to a terrorist dry run.,0,0
10376.json,mostly-true,"Administrative employees at colleges and universitieshave more than doubled over the last 25 years, outpacing the growth of students by more than 2 to 1.",1,0
8031.json,pants-fire,Private prison systems are calculating how many new beds (they will need) based on the ... number of third graders.,0,0
